单词码	单词值	单词类型 	单词是否合法
1	PROGRAM	关键字		true
28	1	标识符		true
26	;	分隔符		true
4	VAR	关键字		true
28	2	标识符		true
27	,	分隔符		true
28	3	标识符		true
25	:	运算符		true
5	INTEGER	关键字		true
26	;	分隔符		true
2	BEGIN	关键字		true
28	2	标识符		true
11	:=	运算符		true
29	300	整形常量		true
26	;	分隔符		true
8	IF	关键字		true
28	2	标识符		true
20	>	运算符		true
29	200	整形常量		true
9	THEN	关键字		true
28	3	标识符		true
11	:=	运算符		true
29	400	整形常量		true
10	ELSE	关键字		true
28	3	标识符		true
11	:=	运算符		true
29	100	整形常量		true
26	;	分隔符		true
3	END	关键字		true
24	.	分隔符		true
词法分析通过！
